centre;codprod;codof;sequence;codop;dtedeb;dtefin
MAC101;PROD01;OF00000001;0000;0010;2025-11-24 10:48:00.000;2025-11-25 03:48:00.000
MAC101;PROD01;OF00000025;0000;0010;2025-11-25 03:48:00.000;2025-11-26 04:18:00.000
MAC101;PROD01;OF00000026;0000;0010;2025-11-26 04:18:00.000;2025-11-27 07:18:00.000
MAC101;PROD01;OF00000036;0000;0010;2025-11-27 07:18:00.000;2025-11-29 21:18:00.000
MAC101;PROD01;OF00000038;0000;0010;2025-11-29 21:18:00.000;2025-12-01 05:18:00.000
MAC101;PROD01;OF00000039;0000;0010;2025-12-01 05:18:00.000;2025-12-02 03:18:00.000
MAC101;PROD01;OF00000041;0000;0010;2025-12-02 03:18:00.000;2025-12-05 08:18:00.000
MAC101;PROD01;OF00000004;0000;0010;2025-12-05 08:18:00.000;2025-12-06 11:18:00.000
MAC101;PROD01;OF00000030;0000;0010;2025-12-06 11:18:00.000;2025-12-09 01:18:00.000
MAC101;PROD01;OF00000034;0000;0010;2025-12-09 01:18:00.000;2025-12-13 07:18:00.000
MAC101;PROD01;OF00000021;0000;0010;2025-12-13 07:18:00.000;2025-12-22 18:18:00.000
MAC101;PROD01;OF00000014;0000;0010;2025-12-22 18:18:00.000;2025-12-26 19:18:00.000
MAC101;PROD01;OF00000011;0000;0010;2025-12-26 19:18:00.000;2025-12-30 00:18:00.000
MAC102;PROD02;OF00000015;0000;0010;2025-11-24 10:48:00.000;2025-11-26 01:18:00.000
MAC102;PROD02;OF00000016;0000;0010;2025-11-26 01:18:00.000;2025-11-29 17:48:00.000
MAC102;PROD02;OF00000027;0000;0010;2025-11-29 17:48:00.000;2025-11-30 13:33:00.000
MAC102;PROD02;OF00000040;0000;0010;2025-11-30 13:33:00.000;2025-12-01 00:33:00.000
MAC102;PROD02;OF00000037;0000;0010;2025-12-01 00:33:00.000;2025-12-02 07:33:00.000
MAC102;PROD02;OF00000023;0000;0010;2025-12-02 07:33:00.000;2025-12-02 16:03:00.000
MAC102;PROD02;OF00000012;0000;0010;2025-12-02 16:03:00.000;2025-12-03 10:18:00.000
MAC102;PROD02;OF00000007;0000;0010;2025-12-03 10:18:00.000;2025-12-04 07:18:00.000
MAC102;PROD02;OF00000022;0000;0010;2025-12-04 07:18:00.000;2025-12-07 23:48:00.000
POSTE1;PRODMO2;AF00000002;0000;0010;2025-11-24 10:48:00.000;2025-12-02 08:48:00.000
POSTE1;PRODMO1;AF00000004;0000;0010;2025-12-02 08:48:00.000;2025-12-31 11:48:00.000
POSTE1;PRODMO2;AF00000005;0000;0010;2025-12-31 11:48:00.020;2026-02-10 08:48:00.020
POSTE1;PRODMO1;AF00000007;0000;0010;2026-02-10 08:48:00.050;2026-03-01 17:48:00.050
POSTE1;PRODMO2;AF00000008;0000;0010;2026-02-22 00:00:00.000;2026-03-01 12:00:00.000
POSTE1;PRODMO1;AF0000001;0000;0010;2026-02-22 00:00:00.000;2026-02-26 04:00:00.000
POSTE1;PRODMO1;AF00000010;0000;0010;2026-02-22 00:00:00.000;2026-03-01 22:00:00.000
POSTE2;PRODMO2;AF00000002;0000;0020;2025-11-24 10:48:00.000;2025-12-02 08:48:00.000
POSTE2;PRODMO3;AF00000003;0000;0010;2025-12-02 08:48:00.000;2025-12-05 14:48:00.000
POSTE2;PRODMO3;AF00000006;0000;0010;2025-12-05 14:48:00.000;2025-12-30 15:48:00.000
POSTE2;PRODMO3;AF00000009;0000;0010;2025-12-30 15:48:00.020;2026-02-22 10:48:00.020
POSTE2;PRODMO1;AF00000004;0000;0020;2026-02-22 00:00:00.000;2026-02-28 06:00:00.000
POSTE2;PRODMO2;AF00000005;0000;0020;2026-02-22 00:00:00.000;2026-03-02 08:00:00.000
POSTE2;PRODMO3;AF00000011;0000;0010;2026-02-22 00:00:00.000;2026-03-14 20:00:00.000
POSTE2;PRODMO1;AF0000001;0000;0020;2026-02-26 04:00:00.000;2026-03-02 08:00:00.000
POSTE2;PRODMO2;AF00000008;0000;0020;2026-03-01 12:00:00.000;2026-03-01 13:38:00.000
POSTE2;PRODMO1;AF00000007;0000;0020;2026-03-01 17:48:00.050;2026-03-01 20:33:00.050
POSTE2;PRODMO1;AF00000010;0000;0020;2026-03-01 22:00:00.000;2026-03-09 20:00:00.000
