centre;codprod;codof;sequence;codop;dtedeb;dtefin;couleur
MAC101;PROD01;OF00000001;0000;0010;2025-11-24 10:48:00.000;2025-11-25 03:48:00.000;(np.float64(40.74210774200166), np.float64(229.96006888952826), np.float64(181.93474827446556))
MAC101;PROD01;OF00000025;0000;0010;2025-11-25 03:48:00.000;2025-11-26 04:18:00.000;(np.float64(204.13057152545082), np.float64(97.29523183777468), np.float64(140.38548551180406))
MAC101;PROD01;OF00000026;0000;0010;2025-11-26 04:18:00.000;2025-11-27 07:18:00.000;(np.float64(128.48917227796613), np.float64(232.09771863453255), np.float64(232.81808493622054))
MAC101;PROD01;OF00000036;0000;0010;2025-11-27 07:18:00.000;2025-11-29 21:18:00.000;(np.float64(178.38945478572822), np.float64(170.92629505764194), np.float64(199.81594561797584))
MAC101;PROD01;OF00000038;0000;0010;2025-11-29 21:18:00.000;2025-12-01 05:18:00.000;(np.float64(196.77622324143022), np.float64(65.914185408901), np.float64(191.47942647201833))
MAC101;PROD01;OF00000039;0000;0010;2025-12-01 05:18:00.000;2025-12-02 03:18:00.000;(np.float64(125.13921211404113), np.float64(192.82680116932957), np.float64(227.25410939572635))
MAC101;PROD01;OF00000041;0000;0010;2025-12-02 03:18:00.000;2025-12-05 08:18:00.000;(np.float64(201.70606344835224), np.float64(108.17695509171276), np.float64(65.59301594388728))
MAC101;PROD01;OF00000004;0000;0010;2025-12-05 08:18:00.000;2025-12-06 11:18:00.000;(np.float64(111.37656845748889), np.float64(125.30098559193597), np.float64(164.30195485086242))
MAC101;PROD01;OF00000030;0000;0010;2025-12-06 11:18:00.000;2025-12-09 01:18:00.000;(np.float64(161.4809380240878), np.float64(111.01000251895505), np.float64(111.19025586004479))
MAC101;PROD01;OF00000034;0000;0010;2025-12-09 01:18:00.000;2025-12-13 07:18:00.000;(np.float64(112.89830897413289), np.float64(227.91260008881045), np.float64(41.33089955515048))
MAC101;PROD01;OF00000021;0000;0010;2025-12-13 07:18:00.000;2025-12-22 18:18:00.000;(np.float64(94.6147299559221), np.float64(162.7221084037193), np.float64(147.80334931515418))
MAC101;PROD01;OF00000014;0000;0010;2025-12-22 18:18:00.000;2025-12-26 19:18:00.000;(np.float64(63.4729228577138), np.float64(55.426331641899026), np.float64(217.12816468698085))
MAC101;PROD01;OF00000011;0000;0010;2025-12-26 19:18:00.000;2025-12-30 00:18:00.000;(np.float64(125.13921211404113), np.float64(192.82680116932957), np.float64(227.25410939572635))
MAC102;PROD02;OF00000015;0000;0010;2025-11-24 10:48:00.000;2025-11-26 01:18:00.000;(np.float64(161.4809380240878), np.float64(111.01000251895505), np.float64(111.19025586004479))
MAC102;PROD02;OF00000016;0000;0010;2025-11-26 01:18:00.000;2025-11-29 17:48:00.000;(np.float64(131.81248382247966), np.float64(96.36233331780325), np.float64(217.31329360995687))
MAC102;PROD02;OF00000027;0000;0010;2025-11-29 17:48:00.000;2025-11-30 13:33:00.000;(np.float64(112.89830897413289), np.float64(227.91260008881045), np.float64(41.33089955515048))
MAC102;PROD02;OF00000040;0000;0010;2025-11-30 13:33:00.000;2025-12-01 00:33:00.000;(np.float64(234.363248488585), np.float64(115.90693688445022), np.float64(107.05605587411057))
MAC102;PROD02;OF00000037;0000;0010;2025-12-01 00:33:00.000;2025-12-02 07:33:00.000;(np.float64(184.01129014246226), np.float64(133.16611483703295), np.float64(238.15615234086914))
MAC102;PROD02;OF00000023;0000;0010;2025-12-02 07:33:00.000;2025-12-02 16:03:00.000;(np.float64(60.75935333423817), np.float64(155.09688453561276), np.float64(219.75519243767852))
MAC102;PROD02;OF00000012;0000;0010;2025-12-02 16:03:00.000;2025-12-03 10:18:00.000;(np.float64(161.5132991062673), np.float64(193.5077326153397), np.float64(164.8117728466074))
MAC102;PROD02;OF00000007;0000;0010;2025-12-03 10:18:00.000;2025-12-04 07:18:00.000;(np.float64(138.21428523861726), np.float64(152.09536806513782), np.float64(236.36335572916693))
MAC102;PROD02;OF00000022;0000;0010;2025-12-04 07:18:00.000;2025-12-07 23:48:00.000;(np.float64(231.66391612929354), np.float64(172.1390671847137), np.float64(46.88611452749359))
MAC103;PROD03;0F00000003;0000;0010;2025-11-24 10:48:00.000;2025-11-24 17:33:00.000;(np.float64(201.70606344835224), np.float64(108.17695509171276), np.float64(65.59301594388728))
MAC103;PROD03;OF00000013;0000;0010;2025-11-24 17:33:00.000;2025-11-27 11:03:00.000;(np.float64(197.54921634505848), np.float64(190.44580540740168), np.float64(123.70187491397274))
MAC103;PROD03;OF00000017;0000;0010;2025-11-27 11:03:00.000;2025-11-30 04:33:00.000;(np.float64(176.33404009263265), np.float64(203.20229891483976), np.float64(204.8883637397151))
MAC103;PROD01V3;OF00000032;0000;0010;2025-11-30 04:33:00.000;2025-12-01 17:33:00.000;(np.float64(88.98552686438885), np.float64(179.6230260507645), np.float64(96.7544553660782))
MAC103;PROD03;OF00000024;0000;0010;2025-12-01 17:33:00.000;2025-12-02 09:03:00.000;(np.float64(229.2366692289212), np.float64(39.56916584136516), np.float64(79.80577191715366))
MAC103;PROD01V3;OF00000020;0000;0010;2025-12-02 09:03:00.000;2025-12-11 20:03:00.000;(np.float64(40.74210774200166), np.float64(229.96006888952826), np.float64(181.93474827446556))
MAC103;PROD01V3;OF00000029;0000;0010;2025-12-11 20:03:00.000;2025-12-13 14:03:00.000;(np.float64(224.853685582602), np.float64(229.80927501443728), np.float64(35.290811334922935))
MAC103;PROD03;OF00000008;0000;0010;2025-12-13 14:03:00.000;2025-12-14 04:18:00.000;(np.float64(128.48917227796613), np.float64(232.09771863453255), np.float64(232.81808493622054))
MAC103;PROD03;OF00000031;0000;0010;2025-12-14 04:18:00.000;2025-12-15 13:18:00.000;(np.float64(184.01129014246226), np.float64(133.16611483703295), np.float64(238.15615234086914))
MAC103;PROD03;OF00000033;0000;0010;2025-12-15 13:18:00.000;2025-12-16 17:18:00.000;(np.float64(178.38945478572822), np.float64(170.92629505764194), np.float64(199.81594561797584))
MAC103;PROD03;OF00000035;0000;0010;2025-12-16 17:18:00.000;2025-12-19 10:48:00.000;(np.float64(157.0017969892292), np.float64(138.5044673775161), np.float64(107.58145069839264))
MAC103;PROD03;OF00000018;0000;0010;2025-12-19 10:48:00.000;2025-12-21 10:48:00.000;(np.float64(111.37656845748889), np.float64(125.30098559193597), np.float64(164.30195485086242))
MAC103;PROD03;OF00000010;0000;0010;2025-12-21 10:48:00.000;2025-12-22 19:48:00.000;(np.float64(229.2366692289212), np.float64(39.56916584136516), np.float64(79.80577191715366))
MAC103;PROD01V2;OF00000047;0000;0020;2025-12-22 19:48:00.000;2025-12-23 16:48:00.000;(np.float64(196.77622324143022), np.float64(65.914185408901), np.float64(191.47942647201833))
MAC104;PROD01;OF00000042;0000;0010;2025-11-24 10:48:00.000;2025-11-28 23:56:00.000;(np.float64(197.54921634505848), np.float64(190.44580540740168), np.float64(123.70187491397274))
MAC104;PROD01;OF00000050;0000;0030;2025-11-30 04:48:00.000;2025-12-01 16:18:00.000;(np.float64(229.37807886351712), np.float64(106.46407703475843), np.float64(213.72117624961572))
MAC105;PROD01;OF00000043;0000;0010;2025-11-24 10:48:00.000;2025-11-27 12:13:00.000;(np.float64(63.4729228577138), np.float64(55.426331641899026), np.float64(217.12816468698085))
MAC105;PROD01V3;OF00000048;0000;0010;2025-11-30 03:18:00.000;2025-12-01 16:18:00.000;(np.float64(88.98552686438885), np.float64(179.6230260507645), np.float64(96.7544553660782))
MAC106;PROD03;OF00000044;0000;0010;2025-11-24 10:48:00.000;2025-11-25 14:48:00.000;(np.float64(94.6147299559221), np.float64(162.7221084037193), np.float64(147.80334931515418))
MAC106;PROD01;OF00000049;0000;0010;2025-11-25 14:48:00.000;2025-11-27 03:48:00.000;(np.float64(194.4488366522667), np.float64(151.9968780837367), np.float64(151.24597113546855))
MAC106;PROD01;OF00000050;0000;0010;2025-11-27 03:48:00.000;2025-11-28 16:48:00.000;(np.float64(229.37807886351712), np.float64(106.46407703475843), np.float64(213.72117624961572))
MAC106;PROD01;OF00000050;0000;0020;2025-11-28 16:48:00.000;2025-11-30 04:48:00.000;(np.float64(229.37807886351712), np.float64(106.46407703475843), np.float64(213.72117624961572))
MAC106;PROD01V3;OF00000048;0000;0020;2025-12-01 16:18:00.000;2025-12-02 13:18:00.000;(np.float64(88.98552686438885), np.float64(179.6230260507645), np.float64(96.7544553660782))
MAC107;PROD02;OF00000045;0000;0010;2025-11-24 10:48:00.000;2025-11-25 17:48:00.000;(np.float64(230.45904928913842), np.float64(152.0311118211575), np.float64(186.39001775951107))
MAC107;PROD01;OF00000049;0000;0030;2025-11-28 15:48:00.000;2025-11-30 03:18:00.000;(np.float64(194.4488366522667), np.float64(151.9968780837367), np.float64(151.24597113546855))
MAC107;PROD01V2;OF00000047;0000;0030;2025-12-23 16:48:00.000;2025-12-24 21:18:00.000;(np.float64(196.77622324143022), np.float64(65.914185408901), np.float64(191.47942647201833))
MAC108;PROD01;OF00000049;0000;0020;2025-11-27 03:48:00.000;2025-11-28 15:48:00.000;(np.float64(194.4488366522667), np.float64(151.9968780837367), np.float64(151.24597113546855))
MAC108;PROD01V3;OF00000048;0000;0030;2025-12-02 13:18:00.000;2025-12-04 04:41:00.000;(np.float64(88.98552686438885), np.float64(179.6230260507645), np.float64(96.7544553660782))
MAC201;PROD01;OF00000001;0000;0020;2025-11-24 10:48:00.000;2025-11-25 02:48:00.000;(np.float64(40.74210774200166), np.float64(229.96006888952826), np.float64(181.93474827446556))
MAC201;PROD01V2;OF00000006;0000;0020;2025-11-25 02:48:00.000;2025-11-25 06:39:00.000;(np.float64(63.4729228577138), np.float64(55.426331641899026), np.float64(217.12816468698085))
MAC201;PROD01V2;OF00000028;0000;0020;2025-11-25 06:39:00.000;2025-11-25 16:13:00.000;(np.float64(227.02877169067398), np.float64(176.8314883273454), np.float64(150.08403076878346))
MAC201;PROD01;OF00000025;0000;0020;2025-11-26 04:18:00.000;2025-11-27 03:48:00.000;(np.float64(204.13057152545082), np.float64(97.29523183777468), np.float64(140.38548551180406))
MAC201;PROD01;OF00000026;0000;0020;2025-11-27 07:18:00.000;2025-11-28 09:18:00.000;(np.float64(128.48917227796613), np.float64(232.09771863453255), np.float64(232.81808493622054))
MAC201;PROD01;OF00000004;0000;0020;2025-11-28 09:18:00.000;2025-11-29 11:18:00.000;(np.float64(111.37656845748889), np.float64(125.30098559193597), np.float64(164.30195485086242))
MAC201;PROD01;OF00000036;0000;0020;2025-11-29 21:18:00.000;2025-12-02 10:18:00.000;(np.float64(178.38945478572822), np.float64(170.92629505764194), np.float64(199.81594561797584))
MAC201;PROD01;OF00000038;0000;0020;2025-12-02 10:18:00.000;2025-12-03 17:18:00.000;(np.float64(196.77622324143022), np.float64(65.914185408901), np.float64(191.47942647201833))
MAC201;PROD01;OF00000043;0000;0020;2025-12-03 17:18:00.000;2025-12-05 20:18:00.000;(np.float64(63.4729228577138), np.float64(55.426331641899026), np.float64(217.12816468698085))
MAC201;PROD01;OF00000042;0000;0020;2025-12-05 20:18:00.000;2025-12-09 00:18:00.000;(np.float64(197.54921634505848), np.float64(190.44580540740168), np.float64(123.70187491397274))
MAC201;PROD01;OF00000039;0000;0020;2025-12-09 00:18:00.000;2025-12-09 21:18:00.000;(np.float64(125.13921211404113), np.float64(192.82680116932957), np.float64(227.25410939572635))
MAC201;PROD01;OF00000041;0000;0020;2025-12-09 21:18:00.000;2025-12-13 01:18:00.000;(np.float64(201.70606344835224), np.float64(108.17695509171276), np.float64(65.59301594388728))
MAC201;PROD01;OF00000030;0000;0020;2025-12-13 01:18:00.000;2025-12-15 14:18:00.000;(np.float64(161.4809380240878), np.float64(111.01000251895505), np.float64(111.19025586004479))
MAC201;PROD01;OF00000034;0000;0020;2025-12-15 14:18:00.000;2025-12-19 19:18:00.000;(np.float64(112.89830897413289), np.float64(227.91260008881045), np.float64(41.33089955515048))
MAC201;PROD01;OF00000021;0000;0020;2025-12-22 18:18:00.000;2026-01-01 04:18:00.000;(np.float64(94.6147299559221), np.float64(162.7221084037193), np.float64(147.80334931515418))
MAC201;PROD01;OF00000011;0000;0020;2026-01-01 04:18:00.000;2026-01-04 08:18:00.000;(np.float64(125.13921211404113), np.float64(192.82680116932957), np.float64(227.25410939572635))
MAC201;PROD01;OF00000014;0000;0020;2026-01-04 08:18:00.000;2026-01-08 08:18:00.000;(np.float64(63.4729228577138), np.float64(55.426331641899026), np.float64(217.12816468698085))
MAC201;PROD01PF;OF00000046;0000;0010;2026-01-08 08:18:00.000;2026-01-23 00:18:00.000;(np.float64(230.45904928913842), np.float64(152.0311118211575), np.float64(186.39001775951107))
MAC202;PROD01V3;0F00000009;0000;0010;2025-11-24 10:48:00.000;2025-11-25 08:18:00.000;(np.float64(157.0017969892292), np.float64(138.5044673775161), np.float64(107.58145069839264))
MAC202;PROD02;OF00000015;0000;0020;2025-11-25 08:18:00.000;2025-11-26 18:37:00.000;(np.float64(161.4809380240878), np.float64(111.01000251895505), np.float64(111.19025586004479))
MAC202;PROD02;OF00000045;0000;0020;2025-11-26 18:37:00.000;2025-11-27 22:17:00.000;(np.float64(230.45904928913842), np.float64(152.0311118211575), np.float64(186.39001775951107))
MAC202;PROD02;OF00000023;0000;0020;2025-11-27 22:17:00.000;2025-11-28 05:57:00.000;(np.float64(60.75935333423817), np.float64(155.09688453561276), np.float64(219.75519243767852))
MAC202;PROD02;OF00000012;0000;0020;2025-11-28 05:57:00.000;2025-11-28 22:16:00.000;(np.float64(161.5132991062673), np.float64(193.5077326153397), np.float64(164.8117728466074))
MAC202;PROD02;OF00000007;0000;0020;2025-11-28 22:16:00.000;2025-11-29 17:02:00.000;(np.float64(138.21428523861726), np.float64(152.09536806513782), np.float64(236.36335572916693))
MAC202;PROD02;OF00000027;0000;0020;2025-11-30 23:33:00.000;2025-12-01 17:13:00.000;(np.float64(112.89830897413289), np.float64(227.91260008881045), np.float64(41.33089955515048))
MAC202;PROD02;OF00000040;0000;0020;2025-12-01 17:13:00.000;2025-12-02 03:06:00.000;(np.float64(234.363248488585), np.float64(115.90693688445022), np.float64(107.05605587411057))
MAC202;PROD02;OF00000016;0000;0020;2025-12-02 03:06:00.000;2025-12-05 09:52:00.000;(np.float64(131.81248382247966), np.float64(96.36233331780325), np.float64(217.31329360995687))
MAC202;PROD02;OF00000037;0000;0020;2025-12-05 09:52:00.000;2025-12-06 13:32:00.000;(np.float64(184.01129014246226), np.float64(133.16611483703295), np.float64(238.15615234086914))
MAC202;PROD02;OF00000022;0000;0020;2025-12-06 13:32:00.000;2025-12-09 20:18:00.000;(np.float64(231.66391612929354), np.float64(172.1390671847137), np.float64(46.88611452749359))
MAC202;PROD01V3;OF00000020;0000;0020;2025-12-11 20:03:00.000;2025-12-17 05:37:00.000;(np.float64(40.74210774200166), np.float64(229.96006888952826), np.float64(181.93474827446556))
MAC202;PROD01PF;OF00000046;0000;0020;2026-01-23 00:18:00.000;2026-01-24 12:18:00.000;(np.float64(230.45904928913842), np.float64(152.0311118211575), np.float64(186.39001775951107))
MAC300;PROD03;0F00000003;0000;0020;2025-11-24 10:48:00.000;2025-11-24 16:05:00.000;(np.float64(201.70606344835224), np.float64(108.17695509171276), np.float64(65.59301594388728))
MAC300;PROD01;OF00000001;0000;0030;2025-11-24 16:05:00.000;2025-11-25 07:35:00.000;(np.float64(40.74210774200166), np.float64(229.96006888952826), np.float64(181.93474827446556))
MAC300;PROD01V2;OF00000006;0000;0030;2025-11-25 07:35:00.000;2025-11-25 12:05:00.000;(np.float64(63.4729228577138), np.float64(55.426331641899026), np.float64(217.12816468698085))
MAC300;PROD03;OF00000013;0000;0020;2025-11-25 12:05:00.000;2025-11-28 12:30:00.000;(np.float64(197.54921634505848), np.float64(190.44580540740168), np.float64(123.70187491397274))
MAC300;PROD03;OF00000017;0000;0020;2025-11-28 12:30:00.000;2025-12-01 12:55:00.000;(np.float64(176.33404009263265), np.float64(203.20229891483976), np.float64(204.8883637397151))
MAC300;PROD03;OF00000044;0000;0020;2025-12-01 12:55:00.000;2025-12-02 18:29:00.000;(np.float64(94.6147299559221), np.float64(162.7221084037193), np.float64(147.80334931515418))
MAC300;PROD01;OF00000025;0000;0030;2025-12-02 18:29:00.000;2025-12-03 17:29:00.000;(np.float64(204.13057152545082), np.float64(97.29523183777468), np.float64(140.38548551180406))
MAC300;PROD01V3;OF00000032;0000;0020;2025-12-03 17:29:00.000;2025-12-04 14:29:00.000;(np.float64(88.98552686438885), np.float64(179.6230260507645), np.float64(96.7544553660782))
MAC300;PROD01;OF00000026;0000;0030;2025-12-04 14:29:00.000;2025-12-05 15:59:00.000;(np.float64(128.48917227796613), np.float64(232.09771863453255), np.float64(232.81808493622054))
MAC300;PROD01;OF00000036;0000;0030;2025-12-05 15:59:00.000;2025-12-08 04:29:00.000;(np.float64(178.38945478572822), np.float64(170.92629505764194), np.float64(199.81594561797584))
MAC300;PROD01V3;0F00000009;0000;0020;2025-12-08 04:29:00.000;2025-12-08 16:37:00.000;(np.float64(157.0017969892292), np.float64(138.5044673775161), np.float64(107.58145069839264))
MAC300;PROD01;OF00000038;0000;0030;2025-12-08 16:37:00.000;2025-12-09 23:07:00.000;(np.float64(196.77622324143022), np.float64(65.914185408901), np.float64(191.47942647201833))
MAC300;PROD01V2;OF00000028;0000;0030;2025-12-09 23:07:00.000;2025-12-10 11:37:00.000;(np.float64(227.02877169067398), np.float64(176.8314883273454), np.float64(150.08403076878346))
MAC300;PROD01;OF00000004;0000;0030;2025-12-10 11:37:00.000;2025-12-11 13:07:00.000;(np.float64(111.37656845748889), np.float64(125.30098559193597), np.float64(164.30195485086242))
MAC300;PROD03;OF00000024;0000;0020;2025-12-11 13:07:00.000;2025-12-12 04:24:00.000;(np.float64(229.2366692289212), np.float64(39.56916584136516), np.float64(79.80577191715366))
MAC300;PROD01;OF00000043;0000;0030;2025-12-12 04:24:00.000;2025-12-14 06:54:00.000;(np.float64(63.4729228577138), np.float64(55.426331641899026), np.float64(217.12816468698085))
MAC300;PROD03;OF00000008;0000;0020;2025-12-14 06:54:00.000;2025-12-14 20:45:00.000;(np.float64(128.48917227796613), np.float64(232.09771863453255), np.float64(232.81808493622054))
MAC300;PROD01V3;OF00000029;0000;0020;2025-12-14 20:45:00.000;2025-12-15 20:36:00.000;(np.float64(224.853685582602), np.float64(229.80927501443728), np.float64(35.290811334922935))
MAC300;PROD01;OF00000039;0000;0030;2025-12-15 20:36:00.000;2025-12-16 17:06:00.000;(np.float64(125.13921211404113), np.float64(192.82680116932957), np.float64(227.25410939572635))
MAC300;PROD03;OF00000031;0000;0020;2025-12-16 17:06:00.000;2025-12-18 04:23:00.000;(np.float64(184.01129014246226), np.float64(133.16611483703295), np.float64(238.15615234086914))
MAC300;PROD03;OF00000033;0000;0020;2025-12-18 04:23:00.000;2025-12-19 09:57:00.000;(np.float64(178.38945478572822), np.float64(170.92629505764194), np.float64(199.81594561797584))
MAC300;PROD01;OF00000042;0000;0030;2025-12-19 09:57:00.000;2025-12-22 13:27:00.000;(np.float64(197.54921634505848), np.float64(190.44580540740168), np.float64(123.70187491397274))
MAC300;PROD03;OF00000010;0000;0020;2025-12-22 13:27:00.000;2025-12-24 00:44:00.000;(np.float64(229.2366692289212), np.float64(39.56916584136516), np.float64(79.80577191715366))
MAC300;PROD01;OF00000041;0000;0030;2025-12-24 00:44:00.000;2025-12-27 04:14:00.000;(np.float64(201.70606344835224), np.float64(108.17695509171276), np.float64(65.59301594388728))
MAC300;PROD01;OF00000030;0000;0030;2025-12-27 04:14:00.000;2025-12-29 16:44:00.000;(np.float64(161.4809380240878), np.float64(111.01000251895505), np.float64(111.19025586004479))
MAC300;PROD01;OF00000034;0000;0030;2025-12-29 16:44:00.000;2026-01-02 21:14:00.000;(np.float64(112.89830897413289), np.float64(227.91260008881045), np.float64(41.33089955515048))
MAC300;PROD03;OF00000035;0000;0020;2026-01-02 21:14:00.000;2026-01-05 21:39:00.000;(np.float64(157.0017969892292), np.float64(138.5044673775161), np.float64(107.58145069839264))
MAC300;PROD03;OF00000018;0000;0020;2026-01-05 21:39:00.000;2026-01-08 02:04:00.000;(np.float64(111.37656845748889), np.float64(125.30098559193597), np.float64(164.30195485086242))
MAC300;PROD01;OF00000021;0000;0030;2026-01-08 02:04:00.000;2026-01-17 11:34:00.000;(np.float64(94.6147299559221), np.float64(162.7221084037193), np.float64(147.80334931515418))
MAC300;PROD01;OF00000014;0000;0030;2026-01-17 11:34:00.000;2026-01-21 11:04:00.000;(np.float64(63.4729228577138), np.float64(55.426331641899026), np.float64(217.12816468698085))
MAC300;PROD01;OF00000011;0000;0030;2026-01-21 11:04:00.000;2026-01-24 14:34:00.000;(np.float64(125.13921211404113), np.float64(192.82680116932957), np.float64(227.25410939572635))
MAC303;PROD01V3;OF00000032;0000;0030;2025-12-04 14:29:00.000;2025-12-06 05:52:00.000;(np.float64(88.98552686438885), np.float64(179.6230260507645), np.float64(96.7544553660782))
MAC303;PROD01V3;0F00000009;0000;0030;2025-12-08 16:37:00.000;2025-12-09 14:47:00.000;(np.float64(157.0017969892292), np.float64(138.5044673775161), np.float64(107.58145069839264))
MAC303;PROD01V3;OF00000029;0000;0030;2025-12-15 20:36:00.000;2025-12-17 17:32:00.000;(np.float64(224.853685582602), np.float64(229.80927501443728), np.float64(35.290811334922935))
MAC303;PROD01V3;OF00000020;0000;0030;2025-12-17 17:32:00.000;2025-12-28 04:02:00.000;(np.float64(40.74210774200166), np.float64(229.96006888952826), np.float64(181.93474827446556))
MAC501;P01;OF01;0001;0010;2025-11-24 10:48:00.000;2025-11-24 16:20:00.000;(np.float64(150.83026016492593), np.float64(102.98553646806167), np.float64(156.06209207472568))
MAC501;P02;OF02;0001;0010;2025-11-24 16:20:00.000;2025-11-24 17:57:00.000;(np.float64(125.13921211404113), np.float64(192.82680116932957), np.float64(227.25410939572635))
MAC501;P03;OF03;0001;0010;2025-11-24 17:57:00.000;2025-11-25 00:43:00.000;(np.float64(224.853685582602), np.float64(229.80927501443728), np.float64(35.290811334922935))
MAC501;P09;OF04;0001;0010;2025-11-25 00:43:00.000;2025-11-25 07:46:00.000;(np.float64(156.01401219156475), np.float64(192.80098507926965), np.float64(71.6203685080064))
MAC501;P02;OF05;0001;0010;2025-11-25 07:46:00.000;2025-11-25 19:11:00.000;(np.float64(131.81248382247966), np.float64(96.36233331780325), np.float64(217.31329360995687))
MAC501;P02;OF06;0001;0010;2025-11-25 19:11:00.000;2025-11-26 00:21:00.000;(np.float64(60.75935333423817), np.float64(155.09688453561276), np.float64(219.75519243767852))
MAC501;P05;OF07;0001;0010;2025-11-26 00:21:00.000;2025-11-26 04:01:00.000;(np.float64(179.45671663027545), np.float64(233.11246037448848), np.float64(140.86762872254633))
MAC501;P06;OF08;0001;0010;2025-11-26 04:01:00.000;2025-11-26 07:12:00.000;(np.float64(220.8937992851237), np.float64(148.45295835119097), np.float64(84.39692538538507))
